"env_step","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MIN","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MAX","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - test_returned_episode_returns","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - test_returned_episode_returns__MIN","Freeway-MinAtar_Transfer_From_SpaceInvaders-MinAtar - test_returned_episode_returns__MAX"
"4096","1","1","1","1.399999976158142","1.399999976158142","1.399999976158142"
"8192","2","2","2","1.399999976158142","1.399999976158142","1.399999976158142"
"12288","3","3","3","1.399999976158142","1.399999976158142","1.399999976158142"
"16384","4","4","4","1.399999976158142","1.399999976158142","1.399999976158142"
"20480","5","5","5","1.399999976158142","1.399999976158142","1.399999976158142"
"24576","6","6","6","1.399999976158142","1.399999976158142","1.399999976158142"
"28672","7","7","7","1.399999976158142","1.399999976158142","1.399999976158142"
"32768","8","8","8","1.399999976158142","1.399999976158142","1.399999976158142"
"36864","9","9","9","1.399999976158142","1.399999976158142","1.399999976158142"
"40960","10","10","10","1.399999976158142","1.399999976158142","1.399999976158142"
"45056","11","11","11","1.399999976158142","1.399999976158142","1.399999976158142"
"49152","12","12","12","1.399999976158142","1.399999976158142","1.399999976158142"
"53248","13","13","13","1.399999976158142","1.399999976158142","1.399999976158142"
"57344","14","14","14","1.399999976158142","1.399999976158142","1.399999976158142"
"61440","15","15","15","1.399999976158142","1.399999976158142","1.399999976158142"
"65536","16","16","16","1.399999976158142","1.399999976158142","1.399999976158142"
"69632","17","17","17","1.399999976158142","1.399999976158142","1.399999976158142"
"73728","18","18","18","1.399999976158142","1.399999976158142","1.399999976158142"
"77824","19","19","19","1.399999976158142","1.399999976158142","1.399999976158142"
"81920","20","20","20","1.399999976158142","1.399999976158142","1.399999976158142"
"86016","21","21","21","1.399999976158142","1.399999976158142","1.399999976158142"
"90112","22","22","22","1.399999976158142","1.399999976158142","1.399999976158142"
"94208","23","23","23","1.399999976158142","1.399999976158142","1.399999976158142"
"98304","24","24","24","1.399999976158142","1.399999976158142","1.399999976158142"
"102400","25","25","25","1.399999976158142","1.399999976158142","1.399999976158142"
"106496","26","26","26","1.399999976158142","1.399999976158142","1.399999976158142"
"110592","27","27","27","1.399999976158142","1.399999976158142","1.399999976158142"
"114688","28","28","28","1.399999976158142","1.399999976158142","1.399999976158142"
"118784","29","29","29","1.399999976158142","1.399999976158142","1.399999976158142"
"122880","30","30","30","1.399999976158142","1.399999976158142","1.399999976158142"
"126976","31","31","31","1.399999976158142","1.399999976158142","1.399999976158142"
"131072","32","32","32","1.399999976158142","1.399999976158142","1.399999976158142"
"135168","33","33","33","1.399999976158142","1.399999976158142","1.399999976158142"
"139264","34","34","34","1.399999976158142","1.399999976158142","1.399999976158142"
"143360","35","35","35","1.399999976158142","1.399999976158142","1.399999976158142"
"147456","36","36","36","1.399999976158142","1.399999976158142","1.399999976158142"
"151552","37","37","37","1.399999976158142","1.399999976158142","1.399999976158142"
"155648","38","38","38","1.399999976158142","1.399999976158142","1.399999976158142"
"159744","39","39","39","1.399999976158142","1.399999976158142","1.399999976158142"
"163840","40","40","40","1.399999976158142","1.399999976158142","1.399999976158142"
"167936","41","41","41","1.399999976158142","1.399999976158142","1.399999976158142"
"172032","42","42","42","1.399999976158142","1.399999976158142","1.399999976158142"
"176128","43","43","43","1.399999976158142","1.399999976158142","1.399999976158142"
"180224","44","44","44","1.399999976158142","1.399999976158142","1.399999976158142"
"184320","45","45","45","1.399999976158142","1.399999976158142","1.399999976158142"
"188416","46","46","46","1.399999976158142","1.399999976158142","1.399999976158142"
"192512","47","47","47","1.399999976158142","1.399999976158142","1.399999976158142"
"196608","48","48","48","1.399999976158142","1.399999976158142","1.399999976158142"
"200704","49","49","49","1.399999976158142","1.399999976158142","1.399999976158142"
"204800","50","50","50","1.399999976158142","1.399999976158142","1.399999976158142"
"208896","51","51","51","1.399999976158142","1.399999976158142","1.399999976158142"
"212992","52","52","52","1.399999976158142","1.399999976158142","1.399999976158142"
"217088","53","53","53","1.399999976158142","1.399999976158142","1.399999976158142"
"221184","54","54","54","1.399999976158142","1.399999976158142","1.399999976158142"
"225280","55","55","55","1.399999976158142","1.399999976158142","1.399999976158142"
"229376","56","56","56","1.399999976158142","1.399999976158142","1.399999976158142"
"233472","57","57","57","1.399999976158142","1.399999976158142","1.399999976158142"
"237568","58","58","58","1.399999976158142","1.399999976158142","1.399999976158142"
"241664","59","59","59","1.399999976158142","1.399999976158142","1.399999976158142"
"245760","60","60","60","1.399999976158142","1.399999976158142","1.399999976158142"
"249856","61","61","61","1.399999976158142","1.399999976158142","1.399999976158142"
"253952","62","62","62","1.399999976158142","1.399999976158142","1.399999976158142"
"258048","63","63","63","1.399999976158142","1.399999976158142","1.399999976158142"
"262144","64","64","64","1.399999976158142","1.399999976158142","1.399999976158142"
"266240","65","65","65","1.399999976158142","1.399999976158142","1.399999976158142"
"270336","66","66","66","1.399999976158142","1.399999976158142","1.399999976158142"
"274432","67","67","67","1.399999976158142","1.399999976158142","1.399999976158142"
"278528","68","68","68","1.399999976158142","1.399999976158142","1.399999976158142"
